Name,Nickname,Country
Veron,The little witch,Argentina
Riquelme,The lazy wizard,Argentina
Claudio Lopez,The flea,Argentina
Goicoechea,The Butcher of Bilbao,Brazil
Zico,The doctor,Brazil
Rosicki,Little Mozart,Czech Republic
Beckenbauer,Der Kaiser,Germany
Baggio,Devine ponytail,Italy
Pirlo,The metronome,Italy
Totti,The gladiator,Italy
Gullit,Black tulip,Netherlands
Van Basten,Swan of Utrecht,Netherlands
Davids,Pitbull,Netherlands
Eusebio,Black panther,Portugal
Yashin,The black spider,Russia
